Entity1,Entity2,Relationship
Reading,Writing,precondition_for
Reading,Pronunciation,precondition_for
Reading,Phrasal Verbs,precondition_for
Reading,Idioms,precondition_for
Reading,Fluency,precondition_for
Writing,Pronunciation,precondition_for
Writing,Phrasal Verbs,precondition_for
Writing,Idioms,precondition_for
Writing,Fluency,precondition_for
Pronunciation,Phrasal Verbs,precondition_for
Pronunciation,Idioms,precondition_for
Pronunciation,Fluency,precondition_for
Phrasal Verbs,Idioms,precondition_for
Phrasal Verbs,Fluency,precondition_for
Idioms,Fluency,precondition_for
